run_id,algo,benchmark,seed,step,context,fitness,best_fitness,llm_queries,llm_queries_cum,time_ms,gen_progress,no_improve_steps,fitness_slope,pop_diversity,selected_model,improvement
context_toy_42,context,toy,42,0,early,0.10592534355413263,0.10592534355413263,1,1,0.10442733764648438,0.0,0,0.0,0.8,balanced_model,True
context_toy_42,context,toy,42,1,early,0.04879155594055157,0.10592534355413263,1,2,0.07367134094238281,0.005,1,0.0,0.8,accurate_model,False
context_toy_42,context,toy,42,2,early,0.03401218406129478,0.10592534355413263,1,3,0.08726119995117188,0.01,2,0.0,0.8,fast_model,False
context_toy_42,context,toy,42,3,early,0.08188881790175036,0.10592534355413263,1,4,0.09751319885253906,0.015,3,0.0,0.8,balanced_model,False
context_toy_42,context,toy,42,4,early,0.2854525155171774,0.2854525155171774,1,5,0.11992454528808594,0.02,0,0.035905434385427856,0.8152515823410337,balanced_model,True
context_toy_42,context,toy,42,5,early,0.21337389070561996,0.2854525155171774,1,6,0.13446807861328125,0.025,1,0.04103478215907355,0.7104172512183785,accurate_model,False
context_toy_42,context,toy,42,6,early,0.08744812897104703,0.2854525155171774,1,7,0.12445449829101562,0.03,2,0.03847010827583252,0.6988265549442159,balanced_model,False
context_toy_42,context,toy,42,7,early,0.060745469551735445,0.2854525155171774,1,8,0.1285076141357422,0.035,3,0.03419565180146698,0.7199230233995783,accurate_model,False
context_toy_42,context,toy,42,8,early,0.0,0.2854525155171774,1,9,0.125885009765625,0.04,4,0.029921195326620027,0.8414698936131094,fast_model,False
context_toy_42,context,toy,42,9,early,0.7009563020822054,0.7009563020822054,1,10,0.23555755615234375,0.045,0,0.04877688609758044,1.0,balanced_model,True
context_toy_42,context,toy,42,10,early,0.7541303189333407,0.7541303189333407,1,11,0.2522468566894531,0.05,0,0.06604058998662136,1.0,accurate_model,True
context_toy_42,context,toy,42,11,early,0.33418901110412486,0.7541303189333407,1,12,0.2532005310058594,0.055,1,0.07544726387116106,1.0,fast_model,False
context_toy_42,context,toy,42,12,early,0.012379541355926294,0.7541303189333407,1,13,0.25963783264160156,0.06,2,0.07699690775119955,1.0,fast_model,False
context_toy_42,context,toy,42,13,early,0.08716954346850944,0.7541303189333407,1,14,0.24461746215820312,0.065,3,0.07068952162673675,1.0,fast_model,False
context_toy_42,context,toy,42,14,early,0.3754468734497927,0.7541303189333407,1,15,0.23984909057617188,0.07,4,0.06849358362849736,0.9987671201014183,accurate_model,False
context_toy_42,context,toy,42,15,early,0.04767743185140749,0.7541303189333407,1,16,0.24557113647460938,0.075,5,0.06061670255861567,1.0,accurate_model,False
context_toy_42,context,toy,42,16,early,0.10656380513400426,0.7541303189333407,1,17,0.24938583374023438,0.08,6,0.04705887841709181,1.0,accurate_model,False
context_toy_42,context,toy,42,17,early,0.015765840456307766,0.7541303189333407,1,18,0.2410411834716797,0.085,7,0.027820111203925798,1.0,accurate_model,False
context_toy_42,context,toy,42,18,early,0.22818083511335813,0.7541303189333407,1,19,0.2396106719970703,0.09,8,0.0029004009191175564,0.9776354878280424,balanced_model,False
context_toy_42,context,toy,42,19,early,0.03143767179094133,0.7541303189333407,1,20,0.2536773681640625,0.095,9,-6.890111376984121e-17,1.0,balanced_model,False
context_toy_42,context,toy,42,20,early,0.6265654504781899,0.7541303189333407,1,21,0.24819374084472656,0.1,10,-6.890111376984121e-17,1.0,balanced_model,False
context_toy_42,context,toy,42,21,early,0.00036271879658633654,0.7541303189333407,1,22,0.2429485321044922,0.105,11,-6.890111376984121e-17,1.0,balanced_model,False
context_toy_42,context,toy,42,22,early,0.25999772777145214,0.7541303189333407,1,23,0.24390220642089844,0.11,12,-6.890111376984121e-17,1.0,accurate_model,False
context_toy_42,context,toy,42,23,early,0.11991310623700975,0.7541303189333407,1,24,0.24247169494628906,0.115,13,-6.890111376984121e-17,1.0,balanced_model,False
context_toy_42,context,toy,42,24,early,0.31778603625191715,0.7541303189333407,1,25,0.2543926239013672,0.12,14,-6.890111376984121e-17,1.0,accurate_model,False
context_toy_42,context,toy,42,25,early,0.6886022720054605,0.7541303189333407,1,26,0.24557113647460938,0.125,15,-6.890111376984121e-17,0.9708172177828319,balanced_model,False
context_toy_42,context,toy,42,26,early,0.06964478477286734,0.7541303189333407,1,27,0.2524852752685547,0.13,16,-6.890111376984121e-17,0.9960343276300277,fast_model,False
context_toy_42,context,toy,42,27,early,0.16949180199816707,0.7541303189333407,1,28,0.24557113647460938,0.135,17,-6.890111376984121e-17,0.8949072952523761,balanced_model,False
context_toy_42,context,toy,42,28,early,0.4583337445618288,0.7541303189333407,1,29,0.2498626708984375,0.14,18,-6.890111376984121e-17,0.8493387048006544,balanced_model,False
context_toy_42,context,toy,42,29,early,0.10834792681340683,0.7541303189333407,1,30,0.24938583374023438,0.145,19,-6.890111376984121e-17,0.8014110947326385,balanced_model,False
context_toy_42,context,toy,42,30,early,0.50130233322169,0.7541303189333407,1,31,0.2503395080566406,0.15,20,-6.890111376984121e-17,0.7770769124906867,balanced_model,False
context_toy_42,context,toy,42,31,early,0.2541722857929046,0.7541303189333407,1,32,0.2453327178955078,0.155,21,-6.890111376984121e-17,0.6433439598933198,balanced_model,False
context_toy_42,context,toy,42,32,stuck,0.07924377917508138,0.7541303189333407,1,33,0.3235340118408203,0.16,22,-6.890111376984121e-17,0.7242659031854743,fast_model,False
context_toy_42,context,toy,42,33,stuck,0.4572000846389553,0.7541303189333407,1,34,0.2512931823730469,0.165,23,-6.890111376984121e-17,0.6428568932425047,balanced_model,False
