,,final_fitness,final_fitness,final_fitness,llm_queries_total,llm_queries_total,llm_queries_while_stuck,llm_queries_while_stuck,time_to_first_improve,time_to_first_improve,area_under_curve,area_under_curve,context_switches,context_switches
,,mean,std,count,mean,std,mean,std,median,std,mean,std,mean,std
algorithm,benchmark,,,,,,,,,,,,,
baseline,synthetic,1.0,0.0,3,1000.0,0.0,916.3333,22.301,0.0,0.0,979.8942,1.5929,0.0,0.0
baseline,toy,1.0,0.0,3,1000.0,0.0,902.0,23.8118,0.0,0.0,965.1625,21.6126,0.0,0.0
baseline,tsp,0.7873,0.1356,3,1000.0,0.0,917.6667,26.2742,13.0,5.2915,737.8027,144.8689,0.0,0.0
context,synthetic,1.0,0.0,3,1000.0,0.0,916.3333,22.301,0.0,0.0,979.8942,1.5929,1.3333,0.5774
context,toy,1.0,0.0,3,1000.0,0.0,913.3333,20.5994,0.0,0.0,967.7887,19.389,1.6667,0.5774
context,tsp,0.9171,0.072,3,1000.0,0.0,896.6667,22.745,13.0,5.2915,735.1713,116.3102,2.6667,0.5774
