run_id,algo,benchmark,seed,step,context,fitness,best_fitness,llm_queries,llm_queries_cum,time_ms,gen_progress,no_improve_steps,fitness_slope,pop_diversity,selected_model,improvement
baseline_tsp_42,baseline,tsp,42,0,none,0.004967141530112327,0.004967141530112327,1,1,0.3762245178222656,0.0,0,0.0,0.8,balanced_model,True
baseline_tsp_42,baseline,tsp,42,1,none,0.0,0.004967141530112327,1,2,0.24843215942382812,0.0033333333333333335,1,0.0,0.8,accurate_model,False
baseline_tsp_42,baseline,tsp,42,2,none,0.006476885381006925,0.006476885381006925,1,3,0.247955322265625,0.006666666666666667,0,0.0007548719241891784,0.8,fast_model,True
baseline_tsp_42,baseline,tsp,42,3,none,0.015230298564080254,0.015230298564080254,1,4,0.24318695068359375,0.01,0,0.003229921493664878,0.8,balanced_model,True
baseline_tsp_42,baseline,tsp,42,4,none,0.0,0.015230298564080254,1,5,0.28896331787109375,0.013333333333333334,1,0.003078947109574588,1.0,balanced_model,False
baseline_tsp_42,baseline,tsp,42,5,none,0.0,0.015230298564080254,1,6,0.26035308837890625,0.016666666666666666,2,0.0025959619841761017,1.0,accurate_model,False
baseline_tsp_42,baseline,tsp,42,6,none,0.015792128155073915,0.015792128155073915,1,7,0.24890899658203125,0.02,0,0.00220552454009797,1.0,balanced_model,True
baseline_tsp_42,baseline,tsp,42,7,none,0.007674347291529088,0.015792128155073915,1,8,0.27060508728027344,0.023333333333333334,1,0.0018590485600489444,0.9647799111056231,fast_model,False
baseline_tsp_42,baseline,tsp,42,8,none,0.0,0.015792128155073915,1,9,0.24747848510742188,0.02666666666666667,2,0.001573423198685281,1.0,fast_model,False
baseline_tsp_42,baseline,tsp,42,9,none,0.005425600435859647,0.015792128155073915,1,10,0.24700164794921875,0.03,3,0.0013421908402425266,1.0,balanced_model,False
baseline_tsp_42,baseline,tsp,42,10,none,0.0,0.015792128155073915,1,11,0.2448558807373047,0.03333333333333333,4,0.0010162911840002023,1.0,accurate_model,False
baseline_tsp_42,baseline,tsp,42,11,none,0.0,0.015792128155073915,1,12,0.247955322265625,0.03666666666666667,5,0.0005591795686690274,1.0,fast_model,False
baseline_tsp_42,baseline,tsp,42,12,none,0.002419622715660341,0.015792128155073915,1,13,0.2377033233642578,0.04,6,7.150558430741716e-05,1.0,fast_model,False
baseline_tsp_42,baseline,tsp,42,13,none,0.0,0.015792128155073915,1,14,0.23794174194335938,0.043333333333333335,7,5.448044518660222e-05,1.0,fast_model,False
baseline_tsp_42,baseline,tsp,42,14,none,0.0,0.015792128155073915,1,15,0.24247169494628906,0.04666666666666667,8,3.064525041746389e-05,1.0,accurate_model,False
baseline_tsp_42,baseline,tsp,42,15,none,0.0,0.015792128155073915,1,16,0.23698806762695312,0.05,9,0.0,1.0,accurate_model,False
baseline_tsp_42,baseline,tsp,42,16,none,0.0,0.015792128155073915,1,17,0.23698806762695312,0.05333333333333334,10,0.0,1.0,accurate_model,False
baseline_tsp_42,baseline,tsp,42,17,none,0.003142473325952739,0.015792128155073915,1,18,0.23603439331054688,0.056666666666666664,11,0.0,1.0,accurate_model,False
baseline_tsp_42,baseline,tsp,42,18,none,0.0,0.015792128155073915,1,19,0.2391338348388672,0.06,12,0.0,1.0,balanced_model,False
baseline_tsp_42,baseline,tsp,42,19,none,0.0,0.015792128155073915,1,20,0.4134178161621094,0.06333333333333334,13,0.0,1.0,balanced_model,False
baseline_tsp_42,baseline,tsp,42,20,none,0.014656487689215542,0.015792128155073915,1,21,0.3287792205810547,0.06666666666666667,14,0.0,1.0,balanced_model,False
baseline_tsp_42,baseline,tsp,42,21,none,0.0,0.015792128155073915,1,22,0.3211498260498047,0.07,15,0.0,1.0,balanced_model,False
baseline_tsp_42,baseline,tsp,42,22,none,0.0006752820468792384,0.015792128155073915,1,23,0.3333091735839844,0.07333333333333333,16,0.0,1.0,balanced_model,False
baseline_tsp_42,baseline,tsp,42,23,none,0.0,0.015792128155073915,1,24,0.31757354736328125,0.07666666666666666,17,0.0,1.0,balanced_model,False
baseline_tsp_42,baseline,tsp,42,24,none,0.0,0.015792128155073915,1,25,0.31495094299316406,0.08,18,0.0,1.0,accurate_model,False
